"lambda_n",n,lambda_k,k,alpha,Optical characterization and bandgap engineering of flat and wrinkle-textured FA0.83Cs0.17Pb(I1–xBrx)3 perovskite thin films https://doi.org/10.1063/1.5025728
665.997,2.345,636.805,0.203,4.012E+04
668.691,2.347,640.751,0.202,3.952E+04
674.615,2.341,646.748,0.199,3.869E+04
678.924,2.334,652.403,0.197,3.802E+04
682.156,2.318,658.480,0.195,3.718E+04
686.465,2.308,665.460,0.192,3.629E+04
691.657,2.310,674.828,0.191,3.555E+04
696.849,2.321,679.132,0.190,3.508E+04
700.569,2.336,683.437,0.190,3.486E+04
703.700,2.354,687.741,0.189,3.455E+04
708.009,2.373,692.046,0.185,3.367E+04
712.318,2.384,696.350,0.178,3.203E+04
716.627,2.383,700.655,0.165,2.961E+04
720.936,2.374,704.959,0.147,2.617E+04
725.244,2.361,709.263,0.124,2.192E+04
729.553,2.348,713.568,0.098,1.728E+04
733.862,2.335,717.872,0.076,1.327E+04
738.171,2.323,722.177,0.057,9.866E+03
742.480,2.314,726.481,0.043,7.473E+03
746.789,2.305,730.786,0.035,5.984E+03
751.098,2.294,735.090,0.028,4.752E+03
755.406,2.287,739.395,0.023,3.977E+03
759.715,2.279,743.699,0.021,3.582E+03
764.024,2.273,748.003,0.019,3.259E+03
768.333,2.267,752.308,0.017,2.873E+03
772.642,2.261,756.612,0.016,2.608E+03
776.951,2.256,760.917,0.014,2.296E+03
781.260,2.251,763.786,0.014,2.287E+03
785.569,2.247,768.897,0.010,1.700E+03
789.877,2.242,775.118,0.010,1.686E+03
794.186,2.238,781.338,0.009,1.399E+03
798.495,2.234,788.690,0.007,1.099E+03
802.804,2.230,796.042,0.005,8.209E+02
807.113,2.226,802.828,0.005,8.139E+02
811.422,2.222,809.048,0.002,2.640E+02
815.731,2.218,814.005,0.001,1.544E+02
820.040,2.214,818.309,0.000,1.536E+01
824.348,2.210,822.614,0.000,0.000E+00
828.657,2.206,826.918,0.000,0.000E+00
832.966,2.201,831.222,0.000,0.000E+00
837.275,2.195,835.527,0.000,0.000E+00
841.584,2.188,839.831,0.000,0.000E+00
845.893,2.177,844.136,0.000,0.000E+00
849.124,2.171,848.082,0.000,0.000E+00
